ID Operation,Product Name,Quantity,Unit Price Local Currency,Currency
3001,Computer,6,5940,CNY
3002,Computer,1,5940,CNY
3003,Computer,5,5940,CNY
3004,Tablet,6,4860,CNY
3005,Computer,5,5940,CNY
3006,Smartphone,3,3240,CNY
3007,Smartphone,6,3240,CNY
3008,Computer,3,5940,CNY
3009,Tablet,2,4860,CNY
3010,Computer,1,5940,CNY
3011,Screen,6,1350,CNY
3012,Screen,8,1350,CNY
3013,Smartphone,1,3240,CNY
3014,Tablet,7,4860,CNY
3015,Computer,2,5940,CNY
3016,Screen,5,1350,CNY
3017,Smartphone,2,3240,CNY
3018,Computer,5,5940,CNY
3019,Tablet,2,4860,CNY
3020,Tablet,3,4860,CNY
3021,Smartphone,1,3240,CNY
3022,Screen,7,1350,CNY
3023,Tablet,8,4860,CNY
3024,Screen,4,1350,CNY
3025,Screen,5,1350,CNY
3026,Computer,4,5940,CNY
3027,Tablet,4,4860,CNY
3028,Screen,7,1350,CNY
3029,Computer,1,5940,CNY
3030,Tablet,1,4860,CNY
3031,Computer,5,5940,CNY
3032,Smartphone,5,3240,CNY
3033,Computer,5,5940,CNY
3034,Smartphone,7,3240,CNY
3035,Tablet,1,4860,CNY
3036,Smartphone,6,3240,CNY
3037,Tablet,7,4860,CNY
3038,Tablet,6,4860,CNY
3039,Screen,8,1350,CNY
3040,Tablet,3,4860,CNY
3041,Computer,3,5940,CNY
3042,Computer,2,5940,CNY
3043,Smartphone,4,3240,CNY
3044,Screen,2,1350,CNY
3045,Screen,1,1350,CNY
3046,Screen,2,1350,CNY
3047,Screen,8,1350,CNY
3048,Tablet,5,4860,CNY
3049,Screen,1,1350,CNY
3050,Smartphone,8,3240,CNY
3051,Tablet,1,4860,CNY
3052,Smartphone,1,3240,CNY
3053,Tablet,4,4860,CNY
3054,Tablet,2,4860,CNY
3055,Smartphone,3,3240,CNY
3056,Smartphone,5,3240,CNY
3057,Computer,1,5940,CNY
3058,Smartphone,8,3240,CNY
3059,Screen,1,1350,CNY
3060,Computer,5,5940,CNY
3061,Tablet,3,4860,CNY
3062,Computer,5,5940,CNY
3063,Tablet,2,4860,CNY
3064,Tablet,8,4860,CNY
3065,Screen,7,1350,CNY
3066,Screen,4,1350,CNY
3067,Screen,4,1350,CNY
3068,Screen,7,1350,CNY
3069,Screen,2,1350,CNY
3070,Tablet,6,4860,CNY
3071,Computer,4,5940,CNY
3072,Tablet,3,4860,CNY
3073,Screen,8,1350,CNY
3074,Screen,8,1350,CNY
3075,Smartphone,2,3240,CNY
3076,Computer,2,5940,CNY
3077,Screen,6,1350,CNY
3078,Tablet,3,4860,CNY
3079,Tablet,8,4860,CNY
3080,Smartphone,6,3240,CNY
3081,Tablet,7,4860,CNY
3082,Computer,4,5940,CNY
3083,Screen,2,1350,CNY
3084,Computer,4,5940,CNY
3085,Computer,7,5940,CNY
3086,Computer,2,5940,CNY
3087,Screen,6,1350,CNY
3088,Tablet,6,4860,CNY
3089,Screen,3,1350,CNY
3090,Screen,5,1350,CNY
3091,Smartphone,3,3240,CNY
3092,Tablet,8,4860,CNY
3093,Screen,2,1350,CNY
3094,Smartphone,2,3240,CNY
3095,Computer,3,5940,CNY
3096,Screen,3,1350,CNY
3097,Smartphone,3,3240,CNY
3098,Smartphone,8,3240,CNY
3099,Screen,3,1350,CNY
3100,Computer,5,5940,CNY
3101,Computer,8,5940,CNY
3102,Computer,3,5940,CNY
3103,Tablet,5,4860,CNY
3104,Tablet,3,4860,CNY
3105,Smartphone,1,3240,CNY
3106,Screen,3,1350,CNY
3107,Computer,2,5940,CNY
3108,Smartphone,7,3240,CNY
3109,Smartphone,7,3240,CNY
3110,Computer,5,5940,CNY
3111,Tablet,2,4860,CNY
3112,Computer,7,5940,CNY
3113,Computer,5,5940,CNY
3114,Smartphone,3,3240,CNY
3115,Screen,5,1350,CNY
3116,Smartphone,6,3240,CNY
3117,Smartphone,7,3240,CNY
3118,Screen,5,1350,CNY
3119,Tablet,3,4860,CNY
3120,Computer,6,5940,CNY
3121,Smartphone,5,3240,CNY
3122,Smartphone,4,3240,CNY
3123,Smartphone,2,3240,CNY
3124,Smartphone,3,3240,CNY
3125,Smartphone,3,3240,CNY
3126,Tablet,3,4860,CNY
3127,Tablet,5,4860,CNY
3128,Smartphone,5,3240,CNY
3129,Smartphone,6,3240,CNY
3130,Tablet,8,4860,CNY
3131,Tablet,8,4860,CNY
3132,Tablet,2,4860,CNY
