Loan_ID,Applicant Income,Loan Amount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,5849,,36,1,Urban,Y
LP001003,4583,128,36,1,Rural,N
LP001005,3000,66,36,1,Urban,Y
LP001006,2583,120,36,1,Urban,Y
LP001008,6000,141,36,1,Urban,Y
LP001011,5417,267,36,1,Urban,Y
LP001013,2333,95,36,1,Urban,Y
LP001014,3036,158,36,0,Semiurban,N
LP001018,4006,168,36,1,Urban,Y
LP001020,12841,349,36,1,Semiurban,N
LP001024,3200,70,36,1,Urban,Y
LP001027,2500,109,36,1,Urban,Y
LP001028,3073,200,36,1,Urban,Y
LP001029,1853,114,36,1,Rural,N
LP001030,1299,17,12,1,Urban,Y
LP001032,4950,125,36,1,Urban,Y
LP001034,3596,100,24,,Urban,Y
LP001036,3510,76,36,0,Urban,N
LP001038,4887,133,36,1,Rural,N
LP001041,2600,115,,1,Urban,Y
LP001043,7660,104,36,0,Urban,N
LP001046,5955,315,36,1,Urban,Y
LP001047,2600,116,36,0,Semiurban,N
LP001050,3365,112,36,0,Rural,N
LP001052,3717,151,36,,Semiurban,N
LP001066,9560,191,36,1,Semiurban,Y
LP001068,2799,122,36,1,Semiurban,Y
LP001073,4226,110,36,1,Urban,Y
LP001086,1442,35,36,1,Urban,N
LP001087,3750,120,36,1,Semiurban,Y
LP001091,4166,201,36,,Urban,N
LP001095,3167,74,36,1,Urban,N
LP001097,4692,106,36,1,Rural,N
LP001098,3500,114,36,1,Semiurban,Y
LP001100,12500,320,36,1,Rural,N
LP001106,2275,,36,1,Urban,Y
LP001109,1828,100,,0,Urban,N
LP001112,3667,144,36,1,Semiurban,Y
LP001114,4166,184,36,1,Urban,Y
LP001116,3748,110,36,1,Semiurban,Y
LP001119,3600,80,36,1,Urban,N
LP001120,1800,47,36,1,Urban,Y
LP001123,2400,75,36,,Urban,Y
LP001131,3941,134,36,1,Semiurban,Y
LP001136,4695,96,,1,Urban,Y
LP001137,3410,88,,1,Urban,Y
LP001138,5649,44,36,1,Urban,Y
